impute,inputmatrix,featsel,featext,response,models,penalty
no,snp,no,pca,binary,regression,ridge
no,snp,no,pca,binary,RF,no
no,snp,no,pca,binary,RF,lasso
no,snp,no,pca,binary,RF,ridge
no,snp,no,pca,binary,NN,no
no,snp,no,pca,binary,NN,lasso
no,snp,no,pca,binary,NN,ridge
no,snp,no,pca,numerical,regression,no
no,snp,no,pca,numerical,regression,lasso
no,snp,no,pca,numerical,regression,ridge
no,snp,no,pca,numerical,RF,no
no,snp,no,pca,numerical,RF,lasso
no,snp,no,pca,numerical,RF,ridge
no,snp,no,pca,numerical,NN,no
no,snp,no,pca,numerical,NN,lasso
no,snp,no,pca,numerical,NN,ridge
no,snp,no,tsne,binary,regression,no
no,snp,no,tsne,binary,regression,lasso
no,snp,no,tsne,binary,regression,ridge
no,snp,no,tsne,binary,RF,no
no,snp,no,tsne,binary,RF,lasso
no,snp,no,tsne,binary,RF,ridge
no,snp,no,tsne,binary,NN,no
no,snp,no,tsne,binary,NN,lasso
no,snp,no,tsne,binary,NN,ridge
no,snp,no,tsne,numerical,regression,no
no,snp,no,tsne,numerical,regression,lasso
no,snp,no,tsne,numerical,regression,ridge
no,snp,no,tsne,numerical,RF,no
no,snp,no,tsne,numerical,RF,lasso
no,snp,no,tsne,numerical,RF,ridge
no,snp,no,tsne,numerical,NN,no
no,snp,no,tsne,numerical,NN,lasso
no,snp,no,tsne,numerical,NN,ridge
no,snp,varThreshold,no,binary,regression,no
no,snp,varThreshold,no,binary,regression,lasso
no,snp,varThreshold,no,binary,regression,ridge
no,snp,varThreshold,no,binary,RF,no
no,snp,varThreshold,no,binary,RF,lasso
no,snp,varThreshold,no,binary,RF,ridge
no,snp,varThreshold,no,binary,NN,no
no,snp,varThreshold,no,binary,NN,lasso
no,snp,varThreshold,no,binary,NN,ridge
no,snp,varThreshold,no,numerical,regression,no
no,snp,varThreshold,no,numerical,regression,lasso
no,snp,varThreshold,no,numerical,regression,ridge
no,snp,varThreshold,no,numerical,RF,no
no,snp,varThreshold,no,numerical,RF,lasso
no,snp,varThreshold,no,numerical,RF,ridge
no,snp,varThreshold,no,numerical,NN,no
no,snp,varThreshold,no,numerical,NN,lasso
no,snp,varThreshold,no,numerical,NN,ridge
no,snp,varThreshold,pca,binary,regression,no
no,snp,varThreshold,pca,binary,regression,lasso
no,snp,varThreshold,pca,binary,regression,ridge
no,snp,varThreshold,pca,binary,RF,no
no,snp,varThreshold,pca,binary,RF,lasso
no,snp,varThreshold,pca,binary,RF,ridge
no,snp,varThreshold,pca,binary,NN,no
no,snp,varThreshold,pca,binary,NN,lasso
no,snp,varThreshold,pca,binary,NN,ridge
no,snp,varThreshold,pca,numerical,regression,no
no,snp,varThreshold,pca,numerical,regression,lasso
no,snp,varThreshold,pca,numerical,regression,ridge
no,snp,varThreshold,pca,numerical,RF,no
no,snp,varThreshold,pca,numerical,RF,lasso
no,snp,varThreshold,pca,numerical,RF,ridge
no,snp,varThreshold,pca,numerical,NN,no
no,snp,varThreshold,pca,numerical,NN,lasso
no,snp,varThreshold,pca,numerical,NN,ridge
no,snp,varThreshold,tsne,binary,regression,no
